SYSTEM:Time(s)	SubMechanism.ibFlap/Flap:roll(deg)	SubMechanism.ibFlap/Flap:x(mm)	SubMechanism.ibFlap/Flap:y(mm)	SubMechanism.ibFlap/Flap:z(mm)
0.203	-0.575	24534.813	-3853.576	3190.287	
0.204	-0.574	24534.813	-3853.576	3190.287	
0.205	-0.574	24534.815	-3853.576	3190.286	
0.206	-0.574	24534.817	-3853.575	3190.286	
0.207	-0.574	24534.819	-3853.575	3190.286	
0.208	-0.574	24534.819	-3853.575	3190.286	
0.209	-0.574	24534.821	-3853.575	3190.286	
0.21	-0.574	24534.822	-3853.575	3190.286	
0.211	-0.574	24534.824	-3853.575	3190.285	
0.212	-0.574	24534.824	-3853.575	3190.285	
0.213	-0.574	24534.826	-3853.575	3190.285	
0.214	-0.574	24534.828	-3853.575	3190.285	
0.215	-0.574	24534.83	-3853.575	3190.285	
0.216	-0.574	24534.83	-3853.575	3190.284	
0.217	-0.574	24534.832	-3853.575	3190.284	
0.218	-0.574	24534.834	-3853.574	3190.284	
0.219	-0.573	24534.836	-3853.574	3190.284	
0.22	-0.573	24534.836	-3853.574	3190.284	
0.221	-0.573	24534.838	-3853.574	3190.284	
0.222	-0.573	24534.84	-3853.574	3190.283	
0.223	-0.573	24534.842	-3853.574	3190.283	
0.224	-0.573	24534.843	-3853.574	3190.283	
0.225	-0.573	24534.843	-3853.574	3190.283	
0.226	-0.573	24534.845	-3853.573	3190.283	
0.227	-0.573	24534.847	-3853.573	3190.282	
0.228	-0.573	24534.849	-3853.573	3190.282	
0.229	-0.573	24534.851	-3853.573	3190.282	
0.23	-0.573	24534.851	-3853.573	3190.282	
0.231	-0.573	24534.853	-3853.573	3190.282	
0.232	-0.573	24534.855	-3853.573	3190.281	
0.233	-0.572	24534.857	-3853.572	3190.281	
0.234	-0.572	24534.859	-3853.572	3190.281	
0.235	-0.572	24534.861	-3853.572	3190.281	
0.236	-0.572	24534.861	-3853.572	3190.28	
0.237	-0.572	24534.863	-3853.572	3190.28	
0.238	-0.572	24534.864	-3853.572	3190.28	
0.239	-0.572	24534.866	-3853.572	3190.28	
0.24	-0.572	24534.868	-3853.571	3190.279	
0.241	-0.572	24534.87	-3853.571	3190.279	
0.242	-0.572	24534.87	-3853.571	3190.279	
0.243	-0.572	24534.872	-3853.571	3190.279	
0.244	-0.572	24534.874	-3853.571	3190.279	
0.245	-0.572	24534.876	-3853.571	3190.278	
0.246	-0.571	24534.878	-3853.57	3190.278	
0.247	-0.571	24534.88	-3853.57	3190.278	
0.248	-0.571	24534.882	-3853.57	3190.278	
0.249	-0.571	24534.883	-3853.57	3190.277	
0.25	-0.571	24534.885	-3853.57	3190.277	
0.251	-0.571	24534.885	-3853.57	3190.277	
0.252	-0.571	24534.887	-3853.57	3190.277	
0.253	-0.571	24534.889	-3853.569	3190.276	
0.254	-0.571	24534.891	-3853.569	3190.276	
